Date,Country,City,Specie,count,min,max,median,variance
11/1/2025,CN,Beijing,pm25,288,21,119,61,4574.04
12/1/2025,CN,Beijing,pm25,278,25,112,57,5076.1
13/01/2025,CN,Beijing,pm25,281,17,152,91,6016.58
14/01/2025,CN,Beijing,pm25,252,13,151,30,3600.22
15/01/2025,CN,Beijing,pm25,263,13,99,50,4282.93
16/01/2025,CN,Beijing,pm25,271,34,117,59,2954.91
17/01/2025,CN,Beijing,pm25,281,46,173,95,14406.3
18/01/2025,CN,Beijing,pm25,288,76,177,142,5839.8
19/01/2025,CN,Beijing,pm25,280,30,174,50,13969.4
20/01/2025,CN,Beijing,pm25,281,46,339,85,19560.9
21/01/2025,CN,Beijing,pm25,283,13,211,63,19598.7
22/01/2025,CN,Beijing,pm25,288,42,158,104,5741.99
23/01/2025,CN,Beijing,pm25,283,95,169,144,2454.93
24/01/2025,CN,Beijing,pm25,286,151,193,164,735.47
25/01/2025,CN,Beijing,pm25,288,159,195,179,852.15
26/01/2025,CN,Beijing,pm25,266,13,188,85,24329.7
27/01/2025,CN,Beijing,pm25,189,13,46,21,312.08
28/01/2025,CN,Beijing,pm25,219,5,165,30,10318.3
29/01/2025,CN,Beijing,pm25,288,55,333,158,15645.9
30/01/2025,CN,Beijing,pm25,288,21,183,112,15651.2
31/01/2025,CN,Beijing,pm25,285,104,162,139,2274.74
1/2/2025,CN,Beijing,pm25,287,102,167,155,2619.48
2/2/2025,CN,Beijing,pm25,277,13,168,50,44925.8
3/2/2025,CN,Beijing,pm25,213,9,30,17,169.38
4/2/2025,CN,Beijing,pm25,236,5,55,30,997.77
5/2/2025,CN,Beijing,pm25,272,13,78,34,2152.67
6/2/2025,CN,Beijing,pm25,275,21,85,50,2131.5
7/2/2025,CN,Beijing,pm25,224,13,78,25,1181.97
8/2/2025,CN,Beijing,pm25,236,5,68,25,1302.79
9/2/2025,CN,Beijing,pm25,276,5,112,42,4404.46
10/2/2025,CN,Beijing,pm25,282,61,234,104,13312.4
11/2/2025,CN,Beijing,pm25,288,53,191,175,1649.59
12/2/2025,CN,Beijing,pm25,267,5,104,25,3026.76
13/02/2025,CN,Beijing,pm25,284,46,198,104,15757.2
14/02/2025,CN,Beijing,pm25,288,57,168,93,8334.86
15/02/2025,CN,Beijing,pm25,284,61,179,114,9994.13
16/02/2025,CN,Beijing,pm25,280,13,78,34,1853.68
17/02/2025,CN,Beijing,pm25,245,5,80,25,3169.8
18/02/2025,CN,Beijing,pm25,285,13,107,61,5051.64
19/02/2025,CN,Beijing,pm25,275,9,132,38,3799.2
20/02/2025,CN,Beijing,pm25,275,5,124,34,3976.15
21/02/2025,CN,Beijing,pm25,263,5,82,34,2154.23
22/02/2025,CN,Beijing,pm25,265,5,70,30,914.74
23/02/2025,CN,Beijing,pm25,269,9,80,30,2142.36
24/02/2025,CN,Beijing,pm25,284,34,154,72,3220
25/02/2025,CN,Beijing,pm25,279,21,162,53,16870.6
26/02/2025,CN,Beijing,pm25,287,30,149,91,9742.32
27/02/2025,CN,Beijing,pm25,285,102,200,163,6471.55
28/02/2025,CN,Beijing,pm25,288,127,200,177,1430.6
1/3/2025,CN,Beijing,pm25,288,172,282,238,6704.54
2/3/2025,CN,Beijing,pm25,278,30,199,144,27331.7
3/3/2025,CN,Beijing,pm25,281,25,144,53,2851.09
4/3/2025,CN,Beijing,pm25,284,50,99,72,1104.33
5/3/2025,CN,Beijing,pm25,264,30,170,151,13758.3
6/3/2025,CN,Beijing,pm25,235,13,82,34,1593.37
7/3/2025,CN,Beijing,pm25,263,57,173,154,10056.9
8/3/2025,CN,Beijing,pm25,260,151,181,166,276.06
9/3/2025,CN,Beijing,pm25,241,157,232,178,3545.57
10/3/2025,CN,Beijing,pm25,262,159,197,179,540.35
